word	description
MISER	Someone like Scrooge
RETRO	Kind of rocket 
RAKED	Did a garden job
OTTER	Water creature
ENTER	Start working in, as politics
EARED	A type of seal.
SEDER	Hebrew religious celebration 
SENSE	Hearing or touch
AMIGO	Friend to the south.
EMEER	Abu Dhabi leader
AMATI	Expensive violin 
ENEMY	Time, it's not on our side (wordplay)
AMATI	Famed fiddle name
ALIEN	1979 sci-fi classic
CLING	Put it on hold if there's nothing up in there
NYLON	Popular fabric. 
SPASM	Fit, but writing up to health resort
IMAGE	High school student's concern
CROAK	Frog sound 
SENSE	Discern
SIREN	Cop's noisemaker
TEARY	Visibly moved
IMAGE	PR firm's concern
EXERT	Expend energy
ATTAR	Rose extract.
SPOOL	Embroiderers purchase
UNION	Gompers's concern 
SIEVE	Bakery utensil
OTTER	Water mammal 
ELATE	Jubilate.
CLOAK	Wizard's get-up
EXERT	Bring to bear. 
SENSE	Faculty. 
GROSS	Egregious
TREES	Kilmer's best-known poem
SIREN	"Cops" sound
TRYST	On-the-sly event
UNTIE	Loose. 
ERECT	So walks Puss in Boots.
SIEVE	Symbol of leakiness
TROLL	Unattractive one
ARROW	Weapon for Hood 
SIREN	Alert sound. 
LAYER	Cover band (wordplay)
ARENA	Big place to play the numbers (wordplay)
ERECT	How we stand
STAMP	Trading or airmail
SIREN	It's something the police sometimes use
LEAVE	Time off
INANE	Imbecile
IMAGE	I'm on time for picture
ELITE	Type size smaller than pica
CELLO	Musical instrument.
SIEVE	Pureeing aid
ARROW	GPS symbol
LEMON	Seafood garnish 
NORSE	Norwegians
SIREN	Warning from the ship that it may be on the rocks
ADDER	Sum-doer.
WAXER	Floorcare machine
EROSE	Abraded by elements. 
ELOPE	Avoid the wedding-planning hassle
RENTE	Income, in France 
SNORE	Booooring
OPIUM	Expression of doubt after operation with one suggesting a powerful drug
SIREN	Cops noise
OVULE	Immature egg 
ROWER	Be a stroke, rather than have a stroke
EMEER	Oriental ruler.
ETUDE	Pianist's practice piece 
INPUT	Discussion addition
AWARE	Hardly oblivious
OTTER	Badgers cousin
DRIVE	A disk can be slipped in one
BIPED	Kangaroo eg
OLEIN	Liquid found in fat
SENSE	Touch, for example 
STEAL	Run to second while the pitcher isn't looking, say
EMEER	Middle Eastern ruler
RESTS	Stops arguing in court
TREES	Records of lineage 
EROSE	Irregular, as leaf edges
SENSE	Half of a Jane Austen title
ARMOR	Shiny 'suit'
ERROR	Fielding goof
OTTER	Eric Strattons moniker in Animal House
CHESS	Tal's forte.
RETRO	Evoking nostalgia, as music
ROTAL	Relating to wheels
TIBER	River under the Pons Aemilius
LEMON	Wedge served with seafood
AWARE	Nip in the hoe
SENSE	Taste, for one. 
TIBER	River into the Tyrrhenian Sea. 
TROLL	Crossing river with adverse effect for fish
RORAL	Dewy Rare
LEVEE	Where McLean drove the Chevy
SIREN	You'll get a blast out of it
CROWD	Ballpark filler
BATON	Don't get out the big stick
EMAIL	It may come with attachments
RATER	Star giver
AWARE	One knows about fighting at the East
REATA	S.A. lasso
ALEPH	Introduction to Hebrew
CANIS	Major or Minor constellation. 
PIETY	Devoutness 
LEAVE	Permission.
ALTER	Become different once Raleigh beheaded (wordplay)
AROMA	Subtle quality.
KOREA	Pusans Southern locale
SWEAT	One of Churchill's three 
REVUE	Musical extravaganza. 
EIKON	Holy picture variable
ABOVE	Over and
OPINE	Express a viewpoint
INPUT	Contribution I pen, finally turning up on time
ENTER	Undertaking to take possession by force
RINSE	Dip in water
PREEN	Spruce up 
LEASE	Realty document
SLATE	Webzine that used to publish a regular column by Paul Krugman
SWOOP	Plunge suddenly
SWEAT	Eccrine gland secretion
GOOSE	Holiday menu favorite.
ELATE	Totally thrill
BELAY	Stop: Nautical imperative.
UNTIE	BBC head goes free
EDGER	Lawn maintenance tool
DISCO	Gloria Gaynors field
OBEAH	British honour sympathy for devilish practice in the Caribbean
AMUSE	Get a grin from
DRUPE	Type of fruit fool containing raisins originally
RASTA	That shows the gratitude of the artist to the cult of Jamaica
DREAD	King's gripped by numb fear
CROWD	Three is one, it's said
AMATI	Violin-making clan
SKATE	Enjoy the roller rink
EMEER	Mideast chieftain
SIREN	Traffic stopper, at times
ERROR	Bobbled ground ball, say
VELUM	Soft palate 
GROWL	Rottweiler's warning
ELITE	"Who's Who" group
SLATE	School board (wordplay)
CELLO	Viola relative
CROAK	Frog's sound
ELECT	Put into a seat
LONER	Not the gladhanding sort
SEDER	Hebrew festival
EXERT	Use with effort
ARMOR	Defensive body covering
ELITE	Select group 
ALIEN	Transient at Ellis Island.
LEARY	s counterculture guru
OSIER	Branch of basket-making
EROSE	Eaten away 
UNTIE	Resolve a knotty issue (wordplay)
ORATE	Speak from the stump
DREAD	Hate the idea of
NAVEL	Seedless orange
EMEER	Arab prince Var
ERECT	Assemble.
ERODE	Undermine.
OVULE	Part of a plant ovary
AISLE	Ring bearers path
STALE	Vapid. 
OTTER	Seaweed the Beanie Baby is one
ERROR	It might make a run unearned
ARROW	One of four on a keyboard
WHARF	It's a shore thing
WIRER	Telegrapher or electrician
SCARE	Adrenaline producer
LONER	Noshow at a mixer
ATTAR	Fragrance of roses
OLDER	What youll be on your next birthday
TREES	Apples and oranges, for example
ELATE	Fill with rapture
TENOR	Quartet member.
CROON	Sing low. 
TAPER	Become attenuated with off
ARENA	Setting in 'The Hunger Games'
AVERT	Skirt
LONER	Solitary one: Slang.
NERTS	Card game alternately known as 'pounce'
RESTS	Half and whole eg
ENTER	Pencil maze word
ANTES	Puts some chips on the table
LINER	Batted ball.
AMATI	Violin. 
SCARE	Take alarm. 
ARENA	Live album by Duran Duran
VICAR	Minister's deputy.
ELOPE	Slip off in the night 
ELATE	Make joyful.
ALTER	Modify 
LORAN	Pilot's aid. 
ADDED	Supplementary. 
EROSE	Notched: Bot.
ELOPE	Get married secretly
ELATE	Carry away in a way
AMUSE	Tell jokes to
CRUSH	Prepare grapes in a way
LEAVE	Clear out
NEVER	Emphatic refusal from Guinevere
EXERT	Use strength. 
ERECT	Straight up and down
RAKED	Did yard work
GROSS	Commercial quantity
ORANG	Malay for man
REINS	Checks rules for pronunciation
ELOPE	Get hitched in haste
IMAGE	Picture in a dream
RAKED	Did an autumnal chore
GROWL	Hostile murmur
ABOMA	Large S.A. snake
SALON	Beauty
OTTER	Animal House animal
SNERT	Comics pet in a horned helmet
SENSE	Eg, taste or touch
ENEMY	Hatfield to a McCoy
LEAVE	Allowance
THINE	It became yours
PILOT	Guide one into bed!
AISLE	Airline seating request
EXERT	Exercise, wield
OPINE	Express opinion
UVULA	Body part meaning 'little bunch of grapes'
ERROR	It's not frightfully right to have it after tea
OTTER	Fur-bearing mammal. 
THINE	Yours to Shakespeare
TREED	Trapped by the hounds
RICER	Potatoprocessing tool
EXEAT	Pass what you swallow at last
AGREE	Reach a mutual opinion
ELOPE	Carry out a gethitchedquick scheme
SIEVE	Kitchen utensil
ARMOR	Gawains garb
AMATI	Treasured instrument
AMATI	String fellow? 
RESET	Turn back to zero, perhaps
TIBER	River boat's first in row
EXERT	Push oneself
LONER	A hermit is one protected by both sides
EMAIL	... male lead from 'Islands', tipped off in message
OTTER	Animal playing a Casio keyboard in a video I recommend you look up right now
HOTEL	Hailey best seller 1965 
ERROR	Lapse.
LEAVE	Run off
ARMOR	Blow deflector
ELOPE	Get out of town in a way
AMATI	Italian violinmaker
ELITE	Eight March Madness round
LEASE	Student finds relief in getting hold of accommodation
SLURP	Eat noisily: Dial.
CELLO	Group ring music-maker
ENTER	Accept an inviting suggestion
EMEER	Mideast bigwig Var
UNLAW	International jurisprudence
ELITE	Superior. 
RESIN	Plant substance 
IDLER	Twiddle-one's-thumbs one.
ALERT	Shout "Heads up!"
ERROR	Trial's partner.
SENSE	Taste or touch, for example
EYRIE	Mountaintop castle in A Game of Thrones with the
ENDUE	Provide as with a quality
EXERT	Put out (effort)
ELATE	Bring jubilation to
DISCO	1970s music style
SPEND	Wear out.
ARROW	Robin's weapon
RIATA	Throwingrope
EROSE	Irregular, as if gnawed away
LEARY	"Turn on, tune in, drop out" advocate
BUYER	Consumer
CLING	Hold tight as to a late inning lead
RELIC	Archeologist's find
ALERT	'Incoming!', e.g
LONER	Common Eastwood role
RAMAL	Halter Spanish style
ELOPE	Do this and receive no wedding presents-George Ade.
TEARY	How the missus acts when I bring home roses
LONER	Anchorite 
NEVER	New First Lady? Republican? Surely not!
AGREE	Grammatically correspond
ENTER	Join in.
ARMOR	Round Table array
YAGER	German rifleman. 
CHESS	Where "One Night in Bangkok" is no game
ARENA	Game venue 
ERODE	Wear this, but not like 29 down
EMEER	Eastern prince. 
SIREN	City sound
ENTER	Record.
OVULE	Seed
DICER	Player at Las Vegas
SOBER	Not tight
CLONE	Double
LECHE	Milk of Mexico
INLET	Orifice
UVULA	It hangs from the soft palate
LOSER	He has lots of sour-grapes (wordplay)
ORATE	Speak for everyone in the room
CANIS	The dog family.
SENSE	Perceive - feeling
KABOB	Pierced food
SCARE	Throw into a panic
EDGER	Yard worker's tool
AMATI	Name of fame in Cremona
AGREE	Bury the hatchet
AGREE	Be at one
LEAVE	Don't touch and go
ARROW	Bows partner
ELATE	Please plenty
ENTER	It's no go to get the tree chopped up around the North
NERTS	Dagnabbit
AMATI	Fancy fiddle
UVULA	Soft palate feature
ENTER	Submit formally 
ARABA	Valley near the Dead Sea 
ENTER	Stop being an outsider
ABUSE	Take unfair advantage of, as privileges
ENTER	Cross the threshold of
INERT	Leaden
ERECT	On end 
ELOPE	Wed on the run 
ELATE	Inspire joy in
ERROR	Diamond term
OLDER	What you get, with time
LEARY	Suspicious Slang var. 
ERROR	It would be frightfully wrong were it to follow a little tea
ELECT	Send to the Senate
SHEEN	Splendor.
TODAY	Now
ARMOR	Iron wear. 
FRIAR	Laurence in Romeo and Juliet for example
ALIEN	Scifi film extra
ELOPE	Abscond. 
AMUSE	Cheer up
SIEVE	Blabbermouth sl
UPSET	In tears perhaps
SENSE	Horse tail
OWNER	Mortgage payer
ARMOR	60-Across protection
SENSE	Gumption.
MANIA	Crosswords in the 1920s, for example
OTTER	Splashy mammal
RETRO	In after being out
ENTER	Go on stage
EYRIE	Nursery for high-flyers (wordplay)
ERODE	Disintegrate. 
AMATI	Noted violin maker.
HALER	More vigorous. 
LOPER	Horse, at times.
SPASM	Sudden cramp
MISER	Hes literally a wretch
OTTER	Animal
LEAVE	Produce foliage
ELOPE	Slip away.
STEAL	Get the five finger discount
HALER	Comparatively fit
ERUPT	Spew lava and ash
STEAL	Great buy slangily
HEMEN	Hunks
ELATE	Excite 
FAINT	Hard to hear or see
ELOPE	Flee to a J.P. 
LONER	Rogue elephant eg
CRUSH	Subway crowd. 
EXEAT	Formal leave of absence down under once
NEVER	When pigs fly in one vertically
INLET	Biscayne Bay eg
AGREE	Conclude negotiations
AISLE	Literal and figurative divider of the house
RERUN	Race again
TEMPO	Measure length of totem pole
ERROR	Wild throw eg
ARROW	"I'm with Stupid" symbol
GLADE	SC Johnson spray
ERROR	Misjudgment. 
ESSAY	Part of the SAT
AROMA	Smell made in an Italian city
HOTEL	Sweltering by the Spanish Inn
ABOUT	In regard to
SENSE	Perceive vaguely
FRUMP	Not best-dressed woman.
RAKED	Leafless, as some fall lawns
INERT	'Not moving, lifeless (5)'
BELAY	Fasten, as a rope
ERROR	It's about going back to religion initially or by mistake
SNERT	Hagar the Horribles dog
EROSE	Jagged, as leaf edges. 
GAMIN	Ragamuffin 
LAYER	Mason at work
UVULA	Mouth organ
START	Set going
SENSE	Sight hearing or taste
CHESS	Game of forks and pins
SIEGE	Continued endeavor to gain possession.
ATTAR	Floral essence 
EYRIE	High spot - of English year, that is
ENNUI	The French bore with it
RETRO	Like beehive hairdos
EXERT	Make an effort. 
EROSE	Irregularly: bot.
ERROR	Booted grounder, for one.
LORAN	Ships navigation aid
ARMOR	Coat of mail.
SENSE	Composition of this faculty is from all quarters
OTTER	Dehavilland's dream
LEAVE	'Begone!'
ENTER	Drive-thru sign
TRILL	Sing till Queen enters
AGREE	Suit in sea-green
ERROR	Baseball statistic 
AWARE	Not oblivious
AMUSE	Tell good jokes
WHEAT	Staff of life in a way
ERODE	Wear away as soil
ELATE	Make very proud 
ORATE	Talk to the crowd
ELOPE	Take the honey and run
TEPEE	Hogans cousin
ENTER	Key often used to come in
SWEAT	Salty fluid secreted by the body
ENTER	Go in, as a building
CELLO	Instrument like large violin held between knees
ARMOR	Protection for Sir Galahad
ERODE	Dwindle as popularity
BATON	Cop's club
DICER	He rolls 'em bones
ABUSE	Treat badly. 
EARED	Like a cornfield 
RESIN	Violinists need
ARROW	or
CROAK	Toad sound
ASCII	It has defs. for 94 printable characters
ERROR	What 'sic' may signify (nonverbal)
AWARE	Having savvy
DISCO	Descendant of jazz 
LINEN	Wrinkle-prone fabric
SONAR	Source of pings
DREAD	Quakinginonesboots feeling
ERUPT	Act like a volcano
ENTER	Get into. 
OTTER	Matheson in "Animal House"
AGREE	Hollywood Squares option
ARROW	Toxophilite's projectile
AWARE	Knowing a monarch should be held in high regard (wordplay)
SNEER	Villains do it, typically
IMAGE	Press agent's concern
ARROW	Highway-sign icon
RETRO	So out it's back in
URINE	Hour in Eagle drinking the amber liquid (wordplay)
OREAD	Mythical being.
ERECT	Assemble. 
HOTEL	Spartan serf
FRUMP	Dowdy one 
UPSET	Having a cow
ORDER	RUC man hits hard about right to put down guns
ERODE	Wear it for going away
NAVEL	Common orange
ARMOR	Lancelot's outerwear
POSIT	Presume or assume 
EIDER	Duck down behind this for cover
AWARE	Informed. 
ELVER	Snakelike youngster
CLONE	Imitation
ORLON	Popular synthetic.
RAISE	Breed fish, we hear
LINEN	What Thao might Like on her bed
ELOPE	Flee to the J.P.
WHELP	One recently delivered with assistance
DREAD	Horrible
AROSE	Was revolting (wordplay)
IMPEL	Pressure to get into lime dress for drive
ELOPE	Take flight to unite 
RETRO	In again
LEASE	Construction paper
AWARE	Academy newbie
OLDIE	Checker piece, e.g
CREST	Reach highest flood stage
EIDER	It gets down to get on top of you
EVADE	Avoid
ENTER	PC key with an arrow
CHESS	Game born in India
ELOPE	Some developer to abscond with lover
CHESS	Karpovs game
AGREE	Say okeydokey
EIDER	Duck providing fine down
ELITE	Choice part of a group
SEDER	Jewish home festival. 
OSAGE	Okla tribe
ENTER	Long key
NORSE	From Oslo 
ERGOT	Disease of rye and other cereals
SIEVE	Holey holder
DELAY	Slow
OTTER	Sleek, furry swimmer
LEARY	O famous cow owner
RICER	Tool used to prepare potatoes
AISLE	Pew adjoiner
LATER	When I'll see you (wordplay)
RASTA	Snoop Lion, since recently
EDGER	Tool put away for the winter
LOSER	Born
HALER	In better physical condition
SENSE	Awareness
ARROW	The CW show whose main character often takes a bow during a fight
EROSE	Jagged.
RAKED	Collected (with "in") 
DATER	P.O. device 
CELLO	Ma's a master of it
ELITE	One of the Four Hundred
CROAK	Harsh sound. 
SIEVE	Sifter 
DIRTY	Word before bird or bomb
TINEA	Member of the moth family.
SCARE	Frighten the bejeezus out of
CRAPS	Game where you might bet that someone won't come
ENTER	Make a note of
ALIEN	Scifi horror film
GENTS	Ladies dates
STEAL	Monte Irvin's third-to-home maneuver.
UNION	Theological seminary in N. Y. C.
FREON	Fluid in refrigeration
SIREN	Hazard for Ulysses
EROSE	Irregular, as a leaf edge. 
SCARE	Spooky incident
ARISE	Appear 
ARMOR	Protection for King Arthur
AROMA	Sniffable hint
PLEAD	Beg, as for mercy
ATTAR	Scent for a ssailor
WATER	Wanted by the Ancient Mariner.
OVULE	Seed precursor
LONER	One who might be bad with dates
START	Pencil maze instruction
EDGER	Turf-cutting tool.
ORDER	Group of families
AGREE	Say "You said it," say
AMATI	Celebrated Italian violinmaker
GROSS	Scuzzy
NEIGH	Sound that aptly rhymes with "hay"
SONAR	Marine sound system 
REVUE	Saturday Night Live, for example
REATA	Cowboys gear
AISLE	Airplane seat specification
ERODE	Reduce bank deposits, say
SIEGE	Long and wearying session.
ERROR	Foul-up
SENSE	Feel intuitively. 
NEIGH	It comes straight from the horses mouth
SHEEN	Two and a Half Men actor
ATTAR	Rose oil eg
ANELE	Bless  old-style
GLARE	Show anger
HEMEN	Virile types
DRYER	Laundry appliance 
AWARE	On the ball in law area
UVULA	Fleshy body over back of tongue
THINE	Friends possessive
OTTER	Torte (anagram)
CLING	Stick together.
DRIVE	Hit the ball into the gap maybe
ELITE	Cream for one
REVUE	Type of musical show
SIEVE	Sifter
OTTER	Agile swimmer more sexy for Cockneys (wordplay)
ARENA	Where sports events are held
EROSE	Chop-worn
SPENT	Completely exhausted
AMUSE	Bring a smile to ones face
SIEVE	Kitchen need. 
REINS	Slows down with in
STALE	Twice-told 
NONNE	Narrator of a Chaucer tale
CHESS	Contest in search of mate
FRUMP	Dowdy dame
ENTER	Lodge as a protest
EVENT	This may happen not to be the odd T
ELOPE	Leave town in a gown, maybe
SIREN	'All clear' signal
EMEER	7-Down bigwig (var.)
ENTER	Sign with an arrow
ARROW	Traffic light signal
SLATE	Roofing plate
LOSER	Weeper, proverbially 
LEARN	Pick up king, then knight
SALON	Elegant room for receiving guests
EXERT	Use
SIEVE	The Jumblies' craft
LONER	Party who avoids parties 
ATTAR	Perfume of damask roses.
ARROW	It points the way
SWOON	Fall for a heartthrob
ARROW	Weapon in Deliverance
HEART	Humane feeling.
AMUSE	Stir the risibilities. 
AMUSE	Entertain cable channel hosting Total Recall
SIREN	'75 Roxy Music album played by a fire truck (wordplay)
ENTER	Break in say
ELATE	Bring rapture to
PRONE	Of the pair, one is lying
ARROW	Cupid's accessory 
ELOPE	Visit Gretna Green
MERGE	Drummer gently crushes 'Come Together'
ETUDE	Melodic exercise
AWARE	The sound of no wing
ERROR	A miss. 
ELITE	Highest class
PRINT	CSI Miami clue perhaps
ARMOR	Shiny coat (wordplay)
NEVER	Unequivocal turndown
OTTER	Musk source
ORDER	See 1 down
ERODE	Sneakily undermine
ADDER	Notice the German, a poisonous type
MURAL	Giotto work
SIREN	Creature in the Starbucks logo
EDGER	Tool for lawn neatening
EMEER	Potentate in Arabia
OTTER	Weasel's cousin
DRYER	Appliance with a vent
BUYER	Wrap it up utterer
AGREE	Concur, acquiesce
THINE	Amish pronoun 
EYRIE	Habitation at a high altitude
SHAME	Losing feeling (wordplay)
CALLE	Street, in Acapulcompany 
EDGER	Tidying tool
CLING	Hold tightly (to)
ERODE	Slowly go to pieces on drug (was on horse)
LONER	He thinks two's a crowd 
ARMOR	Plates that won't break
REVUE	Theatrical offering
DREAD	Awesome
AGREE	Arguing with referee extremely unwise, ultimately - don't show dissent
HEMEN	Mr. America et al. 
UVULA	Part of the soft palate
CHESS	Game with checks and squares
RATER	Zagat, to restaurants
SENSE	Contextual meaning
NAVEL	Piercing site, perhaps
PURIM	Festival of Lots. 
DISCO	Type of night club 
TROLL	Folkloric giant
ELITE	A privileged social group
NYLON	Fabric first created at DuPont
OLDIE	Pop song for Pop (wordplay)
NORSE	Like Leif Ericsson
IMBUE	I am to be around you to do the instilling
TONED	Moderated, with "down"
OREAD	Companion of Pan
SIEVE	One who cannot keep a secret (wordplay)
ALTER	Tailor 
OVULE	Admits
RELAX	Chill
SENSE	Something 'common' that's not always so common
OPIUM	Drug cited in two 19th-century wars
DREAD	Fear unloaded rifle being cradled by father
DATER	Client of matchcom
SIREN	Fire indicator, perhaps
TAPER	Gradually become thinner
EVADE	Elude 
ELOPE	Leave without notice.
RATIO	Relationship discovered in the maths class
CANIS	Caesars dog
SENSE	Hearing or sight
ELITE	Drains coming out of residential establishment
OLDIE	Sherry or "Big Girls Don't Cry"
NORSE	Hoping to head to Valhalla, perhaps
LOPER	Easy-gaited horse
ELITE	A list
RELIC	Remaining trace
ENTER	Come on in
INTER	Put underground
ALEPH	Opening in the Mideast
ARROW	Bow gowith
ONSET	Initiation 
SENSE	Horse for one
FRAME	Set up
SIREN	Alluring woman; warning
IMBUE	Charge, as with feeling
LONER	Misanthrope, perhaps
ETUDE	Challenging Chopin piece
TEPEE	Indian's abode
ETUDE	A short musical exercise
OTTER	Sea  fur animal
ERROR	Line score stat
GLARE	Drunk lager by the look of it, in a fierce way
ERODE	Wear down gradually
PREEN	Clean, bird-style
RATER	Critic, often
ELITE	Of the highest class
OTTER	Agile aquatic animal
EMEER	Ruler in the East.
OTTER	Weasel relative.
ENNUI	Board 'em, by the sound of it, in France
EDEMA	Trouble with tomatoes
ALIGN	Straighten in relation to others
SALLE	Chateau unit
ERECT	Upright like a mast
ERODE	Royal composition is rot!
AMATI	Violin designer
NEVER	You're dreaming!
CHESS	Game of skill for two players
SCARE	Horrify 
STOMA	Botanical aperture
ARARA	Cockatoo's cousin 
NABOB	Arrest old boy, someone very rich
PAGER	Exec's belt attachment
ADDER	Calculating one, at times
STEAL	Creep 
SCALE	Mount a mount
SHALT	Word after "Thou"
BIPED	Man. 
EROSE	Having notched edges, as leaves.
DENSE	Compressed - obtuse
ERROR	Basemans blunder
ERROR	Do wrong or it's wrong
CANIS	Major or minor.
ELOPE	Skip the rehearsal dinner, say
ERROR	Deposing leader in panic is blunder
GROSS	P.U.!
LONER	Single operator
GROSS	"Disgusting!"
ALIEN	1979 sci-fi thriller starring Sigourney Weaver
STEAL	Extraordinary bargain Colloq. 
HEMEN	Mr Universe contestants
SKIED	Entered a slalom 
DRIVE	Tee shot 
ESSAY	What I did on my summer vacation, for example
DISCO	Music sounds like this goes without the plural
OILER	Canadian ice hockey pro
GLEDE	Bird of prey 
HEART	Might know your favorite song by this
OVULE	Seedplant outgrowth
EMEER	Arabian prince.
ESSAY	Hot take, perhaps
DISCO	Donna Summers forte
ERODE	Diminish by degrees.
AMATI	Collectors violin
SCARE	Induce the jitters
CHESS	Checking activity
ERECT	On foot
SCARE	Say boo!
OTTER	Weasel's cousin. 
SIDED	One victory rout
PRONE	Lying flat. 
PIPIT	Ground-dwelling songbird
NYLON	Bristle material
UPSET	Disturb or knock over
SIEVE	Straining aid
NERTS	'The hell with it!'
AMIGO	Pal, in Pamplona
AGREE	Give the OK
SIREN	Hooter - femme fatale
CANIS	Celestial dog
EXALT	Former officer receives half an honour
DREAD	Uneasy feeling
EVENT	Meet slice (wordplay)
SONAR	Undersea tracker
OTTER	Valuable fur.
DREAR	Gloomy rapper with role in record company
STOMP	Foot action in popular dance
PRONE	Lying face down
OPINE	Contribute two cents (wordplay)
OTTER	Animal House character
ENTER	Key that often has an arrow on it
ARROW	Projectile
ASCII	A computercode acronym
SIEGE	Prolonged endeavor.
OTTER	Funloving mammal
TETRA	Cousin of quadri
SLATE	Ballot listing
PILOT	Capt. Jabara, for instance. 
ARROW	Hood's weapon 
EIKON	Image variable
SWEEP	Brush clean
EVADE	Escape (esp. by guile)
NEVER	"Impossible!" 
LEAVE	Shore time, perhaps
ENTER	Embark on
EMEER	Arabian chieftain. 
ELOPE	Have wedding bells sans wedding bills
AWARE	Now enlightened
CELLO	Unlikely marching-band member
INPUT	Concerns criticisms etc
SIREN	Alarm father and knight
RESTS	Silent markings
CRAPS	Game with "boxcars"
SENSE	Touch or smell, for example
ENTER	Big key
HEMEN	Schwarzenegger and Stallone, for example
GOTTA	Sorry  go
PLEAD	Say "not guilty," for example
LEAVE	Turn green
OVOLO	Order nos. 05050/0, for decorative moulding
ENTER	ATM key
NERTS	'Drat!'
ONSET	Beginning (of disease)
EXERT	Pion or kaon
ERROR	Alarm not initially the cause of fault
SWOON	React to the Beatles, perhaps
ERECT	Vertical. 
GROSS	Arrant
TEMPO	Adagio or allegro
RERAN	Aired an encore presentation of
AMATI	Ritzy violin
PLEAD	What the Temptations werent too proud to do
ISLET	Tiny spot in the water
ELATE	Return of English relation put one in good spirits
WIRER	Electrican often
ELOPE	As lovers, take flight, actor Keith avoiding writer
ADDER	Lizard eater
STEAL	Filch 
OTTER	Sort of fur's lavish on Queen
ERECT	At full mast, so to speak
AGREE	Correspond
EYRIE	Nest of a bird of prey
CELLO	Part of an orchestra
EMAIL	It may be trashed or forwarded
REINS	Driver's controls
RATIO	Betting odds, for example
ERROR	Overthrow perhaps
AMATI	Gentleman from Cremona.
SLURP	Lap up
RIVAL	Antagonist.
EMEER	Leader wearing a kaffiyeh
PLEAD	Formally respond, in court
FREON	Refrigerant trade name
EVENT	Part of a program of sports.
INANE	Wacky
RETRO	Like back pay briefly
SPARE	Result of converting a split
DRYER	Whirlpool product
LEARY	Actor Denis
GENTS	Folksy restroom sign
ELITE	Best part of Chinese literature
SIREN	Patrol car wailer
HOTEL	Hyatt, for example
ENATE	Like half a family's relations
ERECT	Set upright.
THINE	Pronoun.
SIREN	Firehouse feature
ELITE	Who's Who group
UNTIE	Loosen up
ENTER	This way in sign
ELITE	Like Olympians
SENSE	Rush My precious  of honor
CANIS	Dog astronomically
ERROR	Mistake, putting nothing into English educational foundation (wordplay)
OTTER	Erie hockey player
IDLER	Slothful one. 
EMEER	Big man in Oman
EROSE	Gnawed.
ERROR	Rarity for a Gold Glove player 
AISLE	Bride's path.
GLARE	Reason to wear shades (and a word for which you have to 7-Down to find a word, different in each case, that can follow a starred answer)
TREED	Cornered by a bear, perhaps
DELAY	Postponement.
HEMEN	Cowboys and others
START	Move forward, or jump back
ERROR	404, to a PC user
CREST	Horse's mane. 
CHESS	Kingly pursuit (wordplay)
SAWER	Worker with a cutting tool.
LEAVE	Soldier's time off
SENSE	Smell or sight
AISLE	Passage from a narthex
ARROW	Archery missile
EROSE	Notched
AWARE	Cognizant of one's surroundings
AGREE	Jibe grammatically
SCARE	Put a fright into
CLONE	Not an original individual about to get detached from others
CLOAK	Pelisse
CHESS	Fischers forte
ARROW	Weapon for 2-Down
TENOR	Lohengrin, for one
RELAX	Dont have a cow
UDDER	Milk dispenser
ARMOR	Tanks covering
ARROW	Direction symbol
ELOPE	Save on wedding expenses
ROWED	Brawled
LEASE	What 11 Down has. 
ERGOT	Plant fungus. 
RESET	GameCube button
RIATA	Gaucho's appurtenance.
SENSE	Possibly anoint main sectarian denying moral law
ELATE	Exhilarate
ELATE	Cheer up and up
DRYER	Laundry appliance
NERTS	Stern expression of distaste
FETUS	Womb inhabitant
ARMOR	Knight dress
THERE	Shout from a pointer
EXERT	Put forth, as effort
ATTAR	Mongol invader / Rose oil
DISCO	s music
EMAIL	P.D.A. communique
START	Found to be surprised
ENTER	Sign on a door 
SENSE	Perceive 
SURGE	Press follows the South to wave for it
RAKED	Cleared as leaves
PAGER	Summoning device
PILOT	'03 Honda SUV for an aviator
UNION	Group that strikes
SHAME	Guilty feeling
ABATE	Let up or die away
LEARY	Tripper Timothy
ELOPE	Leave via ladder
RESET	Zero the tripometer say
ISLET	Any of the Florida Keys
ERROR	Coheed and Cambria In the Flame of
AMUSE	Draw laughs 
EDGER	Coming from hedge, rake or another tool
IRIAN	West New Guinea
RETIE	Knot the score again
ERROR	Slip and you could fall into it
LEAVE	Make one's exit
AMUSE	Tickle one's fancy
LECHE	African waterbuck 
RERUN	TV encore
ARMOR	Metal plate. 
SENSE	See or touch
CHESS	*Influential record company named for co-founding brothers Leonard and Phil
LEARY	The Politics of Ecstasy author
ONSET	Initial symptom
SENSE	Meaning; perception
LEASE	Car dealers deal
SIDED	Joined forces with
FRAME	Photo holder
GROSS	Net's counterpart 
TUNER	Upright worker
AWARE	Do you know this is a sort of crockery (wordplay)
ELOPE	Get tied up out of town
SIMAR	Robe of old. 
EVENT	Occurrence with book supporting first lady
EMAIL	Contact, often
RELAX	Take it easy about being negligent
LEARY	LSD advocate Timothy 
WRITE	Jot with down
ERODE	Disappear slowly, as soil
OMBRE	Game played with a 40-card deck
ARMOR	Knightly need
ARROW	Weapon with a nock
ERROR	Fear going topless may be a mistake
DRYER	Beautyparlor gear
INTER	I rent what's in between
ELATE	Get a ":DDD" out of
IMINO	Prefix in chemistry.
STOMA	Nematode mouth
